step,elapsed_min,penalty_weight,train_acc,avg_loss,current_acc,current_pred_ones,ema_acc,ema_pred_ones,selected_acc,selected_pred_ones,selected_tag,is_best,best_acc,best_step,best_tag,total
25,5.511991055806478,0.375,0.5192307692307693,3.718976922035217,0.5018276979313783,23966,0.4992523053917089,23298,0.5018276979313783,23966,current,True,0.5018276979313783,25,current,24074
50,11.010936709245046,0.75,0.4575,9.190147561728955,0.5063554041704744,22671,0.5044446290603971,23403,0.5063554041704744,22671,current,True,0.5063554041704744,50,current,24074
75,16.50728828907013,1.125,0.5675,11.918202430009842,0.4978815319431752,14415,0.5048600149538922,23443,0.5048600149538922,23443,ema,False,0.5063554041704744,50,current,24074
100,22.007192420959473,1.5,0.59,19.920508020147683,0.46764143889673504,4255,0.492689208274487,14962,0.492689208274487,14962,ema,False,0.5063554041704744,50,current,24074
125,27.50541832844416,1.875,0.5,17.192777194976806,0.5229708399102766,14527,0.4979230705325247,13176,0.5229708399102766,14527,current,True,0.5229708399102766,125,current,24074
150,32.98986962636312,2.25,0.605,14.955766941308974,0.525961618343441,19461,0.5155769710060646,14751,0.525961618343441,19461,current,True,0.525961618343441,150,current,24074
175,38.48762559890747,2.625,0.5475,10.629148703813552,0.5241339204120629,15097,0.522181606712636,16308,0.5241339204120629,15097,current,False,0.525961618343441,150,current,24074
200,43.98508439064026,3.0,0.4775,35.993122475147246,0.5135000415385893,12885,0.5187754423859766,14484,0.5187754423859766,14484,ema,False,0.525961618343441,150,current,24074
225,49.474112288157144,3.0,0.59,25.498304875791074,0.5048600149538922,10657,0.514040043200133,13210,0.514040043200133,13210,ema,False,0.525961618343441,150,current,24074
250,54.96614835659663,3.0,0.57,26.293429162055254,0.504029243166902,10357,0.5074354074935615,11861,0.5074354074935615,11861,ema,False,0.525961618343441,150,current,24074
275,60.494801207383475,3.0,0.5825,22.40987108230591,0.5035723186840575,10548,0.5053584780260862,11299,0.5053584780260862,11299,ema,False,0.525961618343441,150,current,24074
