step,elapsed_min,penalty_weight,train_acc,avg_loss,current_acc,current_pred_ones,ema_acc,ema_pred_ones,selected_acc,selected_pred_ones,selected_tag,is_best,best_acc,best_step,best_tag,total
25,5.467050047715505,0.375,0.5096153846153846,3.9746365404129027,0.5166154357398023,16328,0.5041953975243001,3715,0.5166154357398023,16328,current,True,0.5166154357398023,25,current,24074
50,10.921577501296998,0.75,0.495,8.31562103509903,0.5041953975243001,22103,0.5238846888759657,19427,0.5238846888759657,19427,ema,True,0.5238846888759657,50,ema,24074
75,16.37985371351242,1.125,0.55,8.81263593673706,0.46722605300324,7109,0.5105508016947744,17804,0.5105508016947744,17804,ema,False,0.5238846888759657,50,ema,24074
100,21.833519303798674,1.5,0.52,18.33716303229332,0.46764143889673504,2281,0.4725429924399767,6227,0.4725429924399767,6227,ema,False,0.5238846888759657,50,ema,24074
125,27.31597220102946,1.875,0.465,15.442656588554382,0.48566918667442055,5289,0.47088144886599653,4733,0.48566918667442055,5289,current,False,0.5238846888759657,50,ema,24074
150,32.80364660422007,2.25,0.5825,9.892292110323906,0.47848301071695604,3778,0.4751183849796461,4895,0.47848301071695604,3778,current,False,0.5238846888759657,50,ema,24074
175,38.32415348291397,2.625,0.5525,21.646345779895782,0.47416299742460744,3794,0.47482761485419955,4156,0.47482761485419955,4156,ema,False,0.5238846888759657,50,ema,24074
200,43.84602936108907,3.0,0.56,21.420656442642212,0.4804353244163828,7841,0.4758245409985877,4924,0.4804353244163828,7841,current,False,0.5238846888759657,50,ema,24074
225,49.34823513031006,3.0,0.5275,34.494230980873105,0.49156766636205035,10855,0.47682146714297585,6648,0.49156766636205035,10855,current,False,0.5238846888759657,50,ema,24074
250,54.85593004624049,3.0,0.5975,17.76792585372925,0.4948492149206613,12596,0.4867076514081582,8848,0.4948492149206613,12596,current,False,0.5238846888759657,50,ema,24074
275,60.377923671404524,3.0,0.6175,20.545228488445282,0.4954722937609039,12367,0.48936612112652655,10302,0.4954722937609039,12367,current,False,0.5238846888759657,50,ema,24074
