step,elapsed_min,penalty_weight,train_acc,avg_loss,current_acc,current_pred_ones,ema_acc,ema_pred_ones,selected_acc,selected_pred_ones,selected_tag,is_best,best_acc,best_step,best_tag,total
25,5.5408187429110205,0.375,0.5168269230769231,5.380895487070084,0.5270416216665282,12271,0.5342693362133422,11673,0.5342693362133422,11673,ema,True,0.5342693362133422,25,ema,24074
50,11.075882414976755,0.75,0.5525,8.911672860383987,0.5196892913516657,3898,0.5307385561186342,10488,0.5307385561186342,10488,ema,False,0.5342693362133422,25,ema,24074
75,16.62027216355006,1.125,0.595,9.053959565162659,0.5433247486915345,11237,0.5464401428927473,11042,0.5464401428927473,11042,ema,True,0.5464401428927473,75,ema,24074
100,22.158201400438944,1.5,0.54,17.466204640865325,0.5459416798205533,16228,0.5496801528620088,13240,0.5496801528620088,13240,ema,True,0.5496801528620088,100,ema,24074
125,27.67013907035192,1.875,0.5525,20.459582306146622,0.5306139403505857,9221,0.5430339785660879,11374,0.5430339785660879,11374,ema,False,0.5496801528620088,100,ema,24074
150,33.16150157451629,2.25,0.5275,27.66808705687523,0.5335631801944006,14416,0.5408739719199136,12116,0.5408739719199136,12116,ema,False,0.5496801528620088,100,ema,24074
175,38.661250336964926,2.625,0.585,32.10561464518309,0.5231785328570242,13864,0.5360970341447204,12947,0.5360970341447204,12947,ema,False,0.5496801528620088,100,ema,24074
200,44.15651138226191,3.0,0.66,21.12603515945375,0.522430838248733,12588,0.5309047104760323,13046,0.5309047104760323,13046,ema,False,0.5496801528620088,100,ema,24074
225,49.656372515360516,3.0,0.525,18.955188567638398,0.5270416216665282,13433,0.5293677826701005,13315,0.5293677826701005,13315,ema,False,0.5496801528620088,100,ema,24074
250,55.158474536736804,3.0,0.515,35.5602417512238,0.5237600731079173,12468,0.5278308548641688,13012,0.5278308548641688,13012,ema,False,0.5496801528620088,100,ema,24074
275,60.622073996067044,3.0,0.575,17.8037983751297,0.525712386807344,13593,0.5271246988452272,13101,0.5271246988452272,13101,ema,False,0.5496801528620088,100,ema,24074
